City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,vallenar,-28.5708,-70.7581,25.95,25.95,0,3.79,CL,1681418628
300,iztapa,13.9333,-90.7075,31.77,31.77,82,5.5,GT,1681418629
301,tual,-5.6667,132.75,28.25,28.25,95,0.44,ID,1681418629
302,baykit,61.67,96.37,-13.11,-13.11,100,1.67,RU,1681418629
303,moose factory,51.2585,-80.6094,5.0,2.99,100,4.12,CA,1681418629
304,iberia,29.9502,-91.7507,22.25,20.99,40,3.09,US,1681418630
305,southbridge,42.0751,-72.0334,31.37,29.5,0,3.13,US,1681418630
306,the pas,53.8251,-101.2541,10.01,10.01,75,3.09,CA,1681418630
307,nueve de julio,-35.4444,-60.8831,17.2,17.2,60,2.24,AR,1681418630
308,kudahuvadhoo,2.6708,72.8944,28.41,28.41,12,0.85,MV,1681418630
309,kathmandu,27.7167,85.3167,17.69,16.12,20,1.03,NP,1681418255
310,ilulissat,69.2167,-51.1,-2.99,-2.99,100,2.06,GL,1681418631
311,acapulco,16.8634,-99.8901,30.9,30.9,40,7.2,MX,1681418353
312,flinders,-34.5833,150.8552,16.77,13.92,34,2.68,AU,1681418631
313,richards bay,-28.783,32.0377,20.39,20.39,57,2.58,ZA,1681418632
314,viedma,-40.8135,-62.9967,12.38,12.38,2,3.9,AR,1681418632
315,lugovoy,42.9472,72.7644,15.14,15.14,4,3.72,KZ,1681418632
316,ust-maya,60.4167,134.5333,-6.92,-6.92,100,0.56,RU,1681418632
317,nechi,8.0942,-74.7757,33.28,33.28,100,0.98,CO,1681418633
318,sao joao da barra,-21.6403,-41.0511,28.05,28.05,12,5.09,BR,1681418386
319,nguru,12.8791,10.4526,28.7,28.7,81,4.01,NG,1681418633
320,buchanan,5.8808,-10.0467,23.93,23.93,98,2.84,LR,1681418633
321,sangueya,10.7,-14.3667,25.35,25.35,8,2.03,GN,1681418633
322,coffs harbour,-30.3,153.1333,19.52,17.98,40,6.17,AU,1681418634
323,sao jose da coroa grande,-8.8978,-35.1478,25.52,25.52,78,3.19,BR,1681418634
324,shagonar,51.5333,92.8,-1.98,-1.98,100,0.33,RU,1681418634
325,longyearbyen,78.2186,15.6401,-0.09,-0.09,75,2.06,SJ,1681418634
326,sena madureira,-9.0656,-68.6569,29.76,29.76,100,1.8,BR,1681418635
327,port elizabeth,-33.918,25.5701,17.4,15.61,0,6.17,ZA,1681418635
328,amapa,1.0,-52.0,25.16,25.16,96,1.71,BR,1681418635
329,coquimbo,-29.9533,-71.3436,18.85,18.85,0,5.14,CL,1681418635
330,yar-sale,66.8333,70.8333,-18.09,-18.09,56,7.42,RU,1681418636
331,tairua,-37.0167,175.85,17.67,17.67,99,5.56,NZ,1681418636
332,cayenne,4.9333,-52.3333,25.02,25.02,75,1.54,GF,1681418599
333,coxim,-18.5067,-54.76,28.92,28.92,86,1.05,BR,1681418636
334,port arthur,38.8,121.2667,9.12,9.12,97,6.02,CN,1681418475
335,penzance,50.1186,-5.5371,9.38,9.31,100,7.62,GB,1681418637
336,honningsvag,70.9821,25.9704,0.86,0.86,0,8.23,NO,1681418637
337,coihaique,-45.5752,-72.0662,16.34,13.97,0,3.6,CL,1681418637
338,mangrol,21.1167,70.1167,26.14,26.14,96,5.55,IN,1681418637
339,khani,41.9563,42.9566,2.76,2.76,100,1.66,GE,1681418638
340,akita,39.7167,140.1167,10.3,10.3,100,3.76,JP,1681418638
341,zurrieq,35.8311,14.4742,16.09,15.73,0,8.75,MT,1681418638
342,port blair,11.6667,92.75,26.67,26.67,15,2.1,IN,1681418638
343,guacui,-20.7756,-41.6794,21.11,21.11,72,0.08,BR,1681418639
